date,high,low,close
8/26/2025,74960702.01,70666514.22,74949892.42
8/27/2025,76298347.64,73898873.73,73974121.26
8/28/2025,75252982.69,72931773.27,73762423.6
8/29/2025,73857060.8,70374322.13,71508163.25
8/30/2025,72322035.4,70269936.93,71547702.05
8/31/2025,73666479.03,71794176.97,72828149.6
9/1/2025,73500649.67,69725103.57,70443556.69
9/2/2025,72263893.72,70294336.12,71191666.86
9/3/2025,73765541.92,70779695.06,73632970.66
9/4/2025,73591914.77,70371253.72,71518894.89
9/5/2025,73103888.24,69987655.43,70651600.49
9/6/2025,70797808.65,69708374.91,70059249.93
9/7/2025,70729647.74,69987987.15,70729647.74
9/8/2025,71996426.09,69998908.04,71027532.55
9/9/2025,72102965.98,70496307.32,71036942.72
9/10/2025,72707866.12,70549698.86,71501593.47
9/11/2025,73223569.28,71500905.47,73223569.28
9/12/2025,77170866.03,73227815.36,77170866.03
9/13/2025,78146495.04,75811473.23,76473792.33
9/14/2025,76898354.91,75189767.47,76017594.84
9/15/2025,76446833.14,73527688.49,73925463.19
9/16/2025,74253430.29,72895543.41,74236891.37
9/17/2025,75663255.34,73432909.48,75663255.34
9/18/2025,76803976.91,75442841.46,76067371.38
9/19/2025,76426625.15,73960023.07,74402088.86
9/20/2025,74941460.53,74321468.14,74824020.54
9/21/2025,74854605.57,74128800.46,74128800.46
9/22/2025,73996617.41,68723727.6,69516626.87
9/23/2025,70282693.63,69008451.88,69556368.5
9/24/2025,70171530.67,69018940.11,69407315.15
9/25/2025,69361360.21,64606004.73,65321424.54
9/26/2025,67573936.45,64770050.61,67178995.28
9/27/2025,67330517.27,66507215.9,67112792.16
9/28/2025,68944783.42,66397717.47,68944783.42
9/29/2025,70298686.49,68306668.32,70217989.29
9/30/2025,70135149.47,68426016,69091013.78
10/1/2025,72200674.05,68843469.97,71850184.41
10/2/2025,74730201.79,72223551.93,74149284.12
10/3/2025,75418395.53,73788802.68,75029371.96
10/4/2025,74778226.08,73758120.83,74402343.03
10/5/2025,76332401.84,74084826.16,74744373.68
10/6/2025,78197794.09,74533077.16,78055505.34
10/7/2025,78664580.01,74129739.71,74628727.79
10/8/2025,75277288.98,73689081.24,74962458.86
10/9/2025,74990613.69,71351023.16,72607071.3
10/10/2025,72673075.36,64095451.48,64095451.48
10/11/2025,63873742.51,61219340.15,62194984.79
10/12/2025,68837729.93,61566482.86,68693570.73
10/13/2025,70808399.45,67619531.41,70808399.45
10/14/2025,70295968.27,65374960.9,68283614.14
10/15/2025,69359444.64,65410959.02,65740120.89
10/16/2025,67459647.97,63881012.54,64198074.37
